Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
28,Mattia Perin,ITA,GK,Juventus,29,1992,10.5,7,1,0,1,0,11.2,0.23,+4.2,+0.39,32,107,29.9,287,54,28.6,30.8,63,39.7,35.9,154,4,2.6,11,1.04,15.7
29,Samuele Perisan,ITA,GK,Empoli,24,1997,7.0,9,0,0,2,0,7.5,0.31,-1.5,-0.22,25,75,33.3,153,39,32.0,32.7,75,34.7,34.3,134,5,3.7,4,0.57,11.6
30,Ivan Provedel,ITA,GK,Lazio,28,1994,37.9,30,1,0,5,1,31.4,0.25,+2.4,+0.06,158,373,42.4,1121,166,27.4,32.2,198,33.3,33.2,493,21,4.3,55,1.45,16.5
31,Ionuț Radu,ROU,GK,Cremonese,25,1997,9.0,19,3,0,3,0,21.0,0.29,+2.0,+0.22,38,143,26.6,265,34,41.1,37.3,67,50.7,46.3,107,6,5.6,9,1.00,14.5
32,Nicola Ravaglia,ITA,GK,Sampdoria,33,1988,9.0,23,2,0,3,0,17.9,0.26,-5.1,-0.57,49,145,33.8,226,45,42.5,35.6,99,49.5,37.6,155,10,6.5,1,0.11,10.5
33,Francesco Rossi,ITA,GK,Atalanta,31,1991,0.0,0,0,0,0,0,0.0,,0.0,0.00,0,1,0.0,3,0,0.0,17.3,1,100.0,65.0,1,0,0.0,0,0.00,
34,Alessandro Russo,ITA,GK,Sassuolo,21,2001,1.0,3,0,0,0,0,2.8,0.40,-0.2,-0.22,0,12,0.0,42,2,28.6,30.7,8,0.0,18.3,14,0,0.0,0,0.00,10.0
35,Mouhamadou Sarr,SEN,GK,Cremonese,25,1997,2.0,3,0,0,1,0,2.9,0.36,-0.1,-0.05,19,38,50.0,71,12,40.8,35.7,12,75.0,53.6,18,0,0.0,1,0.50,8.6
36,Luigi Sepe,ITA,GK,Salernitana,31,1991,17.0,27,4,0,0,0,30.3,0.27,+3.3,+0.20,76,274,27.7,490,84,40.6,35.9,154,48.7,41.1,222,16,7.2,13,0.76,14.2
37,Marco Silvestri,ITA,GK,Udinese,31,1991,38.0,48,6,2,3,2,48.7,0.31,+2.7,+0.07,144,380,37.9,872,142,31.9,32.0,302,33.8,34.1,547,13,2.4,21,0.55,12.2
38,Salvatore Sirigu,ITA,GK,Fiorentina,35,1987,1.0,0,0,0,0,0,1.0,0.19,+1.0,+0.96,6,16,37.5,30,9,40.0,37.7,8,50.0,41.8,12,0,0.0,2,2.00,26.3
39,Łukasz Skorupski,POL,GK,Bologna,31,1991,37.0,49,7,1,6,3,47.8,0.25,+1.8,+0.05,146,371,39.4,933,206,29.8,31.7,278,33.5,33.0,492,29,5.9,24,0.65,12.9
40,Marco Sportiello,ITA,GK,Atalanta,30,1992,14.9,21,1,1,2,0,19.6,0.29,-1.4,-0.10,52,148,35.1,346,85,20.5,28.8,116,66.4,49.7,200,18,9.0,18,1.21,15.0
41,Mile Svilar,SRB,GK,Roma,22,1999,3.0,3,0,0,0,0,2.9,0.29,-0.1,-0.03,16,44,36.4,61,13,50.8,41.4,16,81.3,60.1,42,6,14.3,4,1.33,12.1
42,Wojciech Szczęsny,POL,GK,Juventus,32,1990,27.5,26,3,0,5,0,26.0,0.25,0.0,0.00,128,270,47.4,634,128,32.2,33.5,153,43.1,38.3,389,11,2.8,21,0.76,14.7
43,Ciprian Tătărușanu,ROU,GK,Milan,36,1986,16.0,22,2,2,4,1,16.8,0.25,-4.2,-0.26,94,195,48.2,473,75,32.1,32.9,83,51.8,41.8,195,9,4.6,13,0.81,14.4
44,Pietro Terracciano,ITA,GK,Fiorentina,32,1990,29.0,38,6,0,3,2,33.1,0.28,-2.9,-0.10,155,375,41.3,871,113,32.7,33.2,198,45.5,40.5,271,12,4.4,55,1.90,18.4
45,Martin Turk,SVN,GK,Sampdoria,18,2003,4.0,9,1,0,3,0,8.0,0.26,-1.0,-0.25,35,78,44.9,99,15,41.4,35.1,43,86.0,56.3,60,0,0.0,2,0.50,12.3
46,Samir Ujkani,KVX,GK,Empoli,34,1988,0.1,1,0,0,0,0,0.2,0.25,-0.8,-9.69,0,0,,2,1,0.0,18.5,1,0.0,27.0,1,0,0.0,0,0.00,
47,Guglielmo Vicario,ITA,GK,Empoli,25,1996,30.9,39,4,0,8,1,40.9,0.27,+2.9,+0.09,138,455,30.3,1106,151,33.5,33.8,170,50.0,42.9,606,34,5.6,22,0.71,11.5
48,Jeroen Zoet,NED,GK,Spezia,31,1991,3.7,4,1,0,1,0,2.8,0.14,-1.2,-0.31,25,78,32.1,110,13,54.5,39.0,23,78.3,58.4,62,4,6.5,6,1.61,14.7
49,Petar Zovko,BIH,GK,Spezia,20,2002,0.8,2,0,0,0,0,1.7,0.55,-0.3,-0.42,7,21,33.3,23,3,47.8,35.1,13,76.9,51.1,24,1,4.2,2,2.47,17.0
