Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
1,James Abankwah,IRL,DF,Udinese,18,2004,0.7,39,8,26,13,0,0,39,1,1,100.0,0,0.0,18,48,19,0,0,0,1,1,21,0
2,Oliver Abildgaard,DEN,MF,Hellas Verona,26,1996,6.6,257,15,82,137,40,13,257,1,1,100.0,0,0.0,99,401,156,2,3,0,6,1,116,8
3,Tammy Abraham,ENG,FW,Roma,24,1997,24.3,786,19,50,391,355,125,786,68,22,32.4,37,54.4,421,2154,856,35,20,16,62,31,621,141
4,Christian Acella,ITA,MF,Cremonese,20,2002,0.2,11,0,1,9,1,0,11,0,0,,0,,7,19,7,0,0,0,1,0,8,0
5,Francesco Acerbi,ITA,DF,Inter,34,1988,26.9,1890,226,858,880,167,27,1890,12,7,58.3,4,33.3,1041,5108,2867,39,33,2,13,7,1252,32
6,Yacine Adli,FRA,MF|FW,Milan,22,2000,1.6,97,1,14,45,42,2,97,6,4,66.7,2,33.3,55,349,171,7,5,0,3,5,67,8
7,Michel Aebischer,SUI,FW|MF,Bologna,25,1997,17.1,791,14,147,400,246,28,791,13,6,46.2,7,53.8,505,1992,841,14,12,4,30,17,618,85
8,Felix Afena-Gyan,GHA,FW|MF,Cremonese,19,2003,9.1,318,7,40,129,156,28,318,25,7,28.0,12,48.0,202,1160,463,22,13,3,34,21,217,54
9,Kevin Agudelo,COL,MF|FW,Spezia,23,1998,23.7,1084,11,168,500,457,54,1084,109,50,45.9,50,45.9,662,4963,2740,81,71,19,59,55,699,100
10,Ola Aina,NGA,DF,Torino,25,1996,9.7,679,20,146,294,250,13,679,49,23,46.9,20,40.8,361,2268,1112,35,26,4,15,8,390,43
11,Emanuel Aiwum,AUT,DF,Cremonese,21,2000,18.4,997,105,506,452,51,5,997,10,3,30.0,5,50.0,500,3147,1569,19,11,0,6,5,521,7
12,Jean-Daniel Akpa-Akpro,CIV,MF|FW,Empoli,29,1992,15.1,630,24,163,338,143,24,630,55,31,56.4,19,34.5,325,1788,748,19,23,8,25,15,351,37
13,Luis Alberto,ESP,MF,Lazio,29,1992,27.1,2217,29,269,1285,681,43,2215,41,19,46.3,20,48.8,1244,5632,3214,73,76,10,33,31,1632,94
14,Agustín Álvarez Martínez,URU,FW|MF,Sassuolo,21,2001,4.1,155,4,12,76,71,16,155,17,7,41.2,8,47.1,80,294,95,2,1,2,16,12,96,19
15,Kelvin Amian,FRA,DF,Spezia,24,1998,26.4,1395,110,506,512,383,47,1395,30,16,53.3,11,36.7,623,3822,2090,53,31,3,25,18,720,72
16,Bruno Amione,ARG,DF,Hellas Verona,20,2002,0.6,20,9,17,4,0,0,20,0,0,,0,,7,22,8,0,0,0,0,0,4,0
17,Bruno Amione,ARG,DF,Sampdoria,20,2002,23.2,1263,139,715,479,83,24,1263,10,2,20.0,6,60.0,663,2805,1165,11,16,0,20,1,691,9
18,Ethan Ampadu,WAL,DF|MF,Spezia,21,2000,29.3,1889,229,930,841,140,19,1889,12,9,75.0,1,8.3,1007,5907,3014,28,21,0,18,7,1090,10
19,Sofyan Amrabat,MAR,MF,Fiorentina,25,1996,22.2,1641,45,298,1106,256,6,1641,17,12,70.6,4,23.5,1054,6108,2876,36,28,1,20,16,1196,24
20,Felipe Anderson,BRA,FW,Lazio,29,1993,32.9,1832,32,236,830,790,129,1832,105,54,51.4,42,40.0,967,5271,2369,83,62,31,85,44,1367,224
21,Janis Antiste,FRA,FW,Sassuolo,19,2002,0.6,23,0,7,9,7,1,23,1,0,0.0,1,100.0,14,49,9,0,0,0,1,0,16,2
22,Marcos Antônio,BRA,MF,Lazio,22,2000,6.6,493,29,117,331,49,1,493,5,4,80.0,0,0.0,296,1197,339,1,9,1,6,4,370,8
23,Valentin Antov,BUL,DF,Monza,21,2000,3.4,267,34,127,121,19,0,267,1,1,100.0,0,0.0,138,600,313,2,2,0,3,2,174,3
24,Marko Arnautović,AUT,FW,Bologna,33,1989,17.0,618,14,44,325,255,57,615,27,13,48.1,11,40.7,361,1616,524,13,12,6,42,19,496,116
25,Tolgay Arslan,GER,MF,Udinese,31,1990,13.5,770,13,145,398,234,26,770,36,15,41.7,13,36.1,473,2944,1530,45,31,11,26,17,504,37
26,Arthur,BRA,FW,Fiorentina,24,1998,15.9,489,14,36,168,289,102,487,35,15,42.9,17,48.6,270,1438,397,11,14,9,60,24,361,86
27,Santiago Ascacíbar,ARG,MF,Cremonese,25,1997,8.1,553,26,177,280,100,4,553,9,4,44.4,4,44.4,254,976,442,1,3,0,8,4,314,6
28,Kristoffer Askildsen,NOR,MF,Lecce,21,2001,8.1,351,17,68,190,97,8,351,6,3,50.0,1,16.7,131,665,336,10,2,2,13,3,176,17
29,Kristjan Asllani,ALB,MF,Inter,20,2002,6.6,507,8,115,309,87,2,507,5,2,40.0,3,60.0,331,1588,634,6,9,1,3,2,389,6
30,Emil Audero,ITA,GK,Sampdoria,25,1997,25.0,982,811,968,17,0,0,982,0,0,,0,,548,2997,1827,0,0,0,1,0,414,0
31,Tommaso Augello,ITA,DF,Sampdoria,27,1994,34.0,1981,88,615,856,544,21,1981,64,36,56.3,23,35.9,1042,5837,3177,84,43,5,21,17,1167,153
32,Kaan Ayhan,TUR,DF,Sassuolo,27,1994,6.1,385,54,198,182,6,0,385,0,0,,0,,235,1168,744,8,5,0,0,1,264,0
