Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
526,Ciprian Tătărușanu,ROU,GK,Milan,36,1986,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
527,Filippo Terracciano,ITA,DF|MF,Hellas Verona,19,2003,9.1,0,5,3,60.0,0.55,0.33,0.00,0.00,23.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2
528,Pietro Terracciano,ITA,GK,Fiorentina,32,1990,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
529,Aleksa Terzić,SRB,DF,Fiorentina,22,1999,10.4,1,10,2,20.0,0.96,0.19,0.10,0.50,24.8,0,0,0,0.4,0.4,0.04,+0.6,+0.6
530,Florian Thauvin,FRA,FW|MF,Udinese,29,1993,6.1,0,10,3,30.0,1.65,0.49,0.00,0.00,22.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7
531,Malick Thiaw,GER,DF,Milan,20,2001,15.1,0,8,3,37.5,0.53,0.20,0.00,0.00,10.9,0,0,0,0.8,0.8,0.11,-0.8,-0.8
532,Kristian Thorstvedt,NOR,MF,Sassuolo,23,1999,12.6,2,20,8,40.0,1.58,0.63,0.10,0.25,16.4,0,0,0,2.1,2.1,0.11,-0.1,-0.1
533,Jeremy Toljan,GER,DF,Sassuolo,27,1994,29.7,0,5,0,0.0,0.17,0.00,0.00,,18.1,0,0,0,0.5,0.5,0.10,-0.5,-0.5
534,Rafael Tolói,ITA,DF,Atalanta,31,1990,30.9,2,29,9,31.0,0.94,0.29,0.07,0.22,13.2,0,0,0,2.8,2.8,0.10,-0.8,-0.8
535,Fikayo Tomori,ENG,DF,Milan,24,1997,30.7,1,9,4,44.4,0.29,0.13,0.11,0.25,14.1,0,0,0,1.3,1.3,0.15,-0.3,-0.3
536,Sandro Tonali,ITA,MF,Milan,22,2000,30.1,2,32,14,43.8,1.06,0.46,0.06,0.14,22.2,6,0,0,2.4,2.4,0.07,-0.4,-0.4
