Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
257,Antonio Iervolino,ITA,MF,Salernitana,19,2003,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
258,Igor,BRA,DF,Fiorentina,24,1998,22.9,43,29,21,18,4,20,27,74.1,7,33,14,19,25,68,56,2
259,Jonathan Ikone,FRA,FW,Fiorentina,24,1998,22.3,16,8,5,6,5,5,14,35.7,9,18,1,17,4,20,3,0
260,Ivan Ilić,SRB,MF,Hellas Verona,21,2001,9.5,16,10,9,7,0,6,11,54.5,5,10,1,9,8,24,14,0
261,Ivan Ilić,SRB,MF,Torino,21,2001,13.1,18,7,6,11,1,10,20,50.0,10,12,3,9,5,23,10,0
262,Samuel Iling-Junior,ENG,DF|FW,Juventus,18,2003,3.5,7,2,3,1,3,4,9,44.4,5,5,1,4,2,9,6,0
263,Emirhan İlkhan,TUR,MF,Torino,18,2004,1.0,1,1,0,1,0,1,1,100.0,0,3,1,2,2,3,2,0
264,Emirhan İlkhan,TUR,MF,Sampdoria,18,2004,1.3,6,3,2,2,2,2,3,66.7,1,5,1,4,0,6,3,0
265,Ciro Immobile,ITA,FW,Lazio,32,1990,24.7,11,5,4,4,3,6,9,66.7,3,10,2,8,1,12,14,0
266,Ardian Ismajli,ALB,DF,Empoli,25,1996,23.3,40,32,25,15,0,18,24,75.0,6,47,31,16,27,67,120,0
267,Mihailo Ivanović,SRB,FW,Sampdoria,17,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
268,Armando Izzo,ITA,DF,Monza,30,1992,27.4,73,50,44,27,2,29,45,64.4,16,29,17,12,50,123,87,1
269,Mato Jajalo,BIH,MF,Udinese,34,1988,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
270,Jesé,ESP,FW,Sampdoria,29,1993,2.3,2,0,0,2,0,0,1,0.0,1,3,1,2,1,3,2,0
271,Juan Jesus,BRA,DF,Napoli,31,1991,10.4,16,11,9,6,1,9,12,75.0,3,18,11,7,10,26,29,0
272,Þórir Jóhann Helgason,ISL,MF,Lecce,21,2000,2.5,2,2,1,0,1,2,3,66.7,1,3,1,2,3,5,3,0
273,Luka Jović,SRB,FW|MF,Fiorentina,24,1997,17.0,6,3,1,4,1,2,8,25.0,6,7,2,5,2,8,10,0
274,Hamed Junior Traorè,CIV,MF|FW,Sassuolo,22,2000,6.6,11,6,4,6,1,4,11,36.4,7,4,0,4,2,13,0,1
275,Yayah Kallon,SLE,MF|FW,Hellas Verona,21,2001,9.6,14,10,5,4,5,7,12,58.3,5,10,0,10,8,22,5,0
276,Pierre Kalulu,FRA,DF,Milan,22,2000,28.3,57,39,33,21,3,28,42,66.7,14,41,17,24,41,98,56,1
277,Yann Karamoh,FRA,MF|FW,Torino,24,1998,8.0,5,2,3,2,0,1,5,20.0,4,5,0,5,0,5,2,1
278,Rick Karsdorp,NED,DF,Roma,27,1995,7.9,21,13,11,7,3,13,22,59.1,9,0,0,0,7,28,15,1
279,Denso Kasius,NED,DF,Bologna,19,2002,3.8,12,6,7,4,1,8,10,80.0,2,6,3,3,3,15,6,0
280,Grigoris Kastanos,CYP,MF|DF,Salernitana,24,1998,14.3,39,23,18,19,2,16,40,40.0,24,20,6,14,8,47,8,0
281,Moise Kean,ITA,FW,Juventus,22,2000,11.1,8,6,2,5,1,3,7,42.9,4,4,0,4,5,13,2,0
282,Jakub Kiwior,POL,DF,Spezia,22,2000,16.0,22,17,15,7,0,6,24,25.0,18,26,18,8,24,46,71,1
283,Simon Kjær,DEN,DF,Milan,33,1989,11.2,15,8,9,6,0,7,11,63.6,4,14,11,3,9,24,35,1
284,Teun Koopmeiners,NED,MF,Atalanta,24,1998,31.8,46,26,15,24,7,28,55,50.9,27,41,5,36,19,65,36,2
285,Filip Kostić,SRB,DF|FW,Juventus,29,1992,28.5,41,26,17,20,4,21,47,44.7,26,30,4,26,16,57,32,0
286,Christian Kouamé,CIV,FW,Fiorentina,24,1997,20.7,27,18,8,10,9,7,14,50.0,7,15,3,12,12,39,8,0
287,Viktor Kovalenko,UKR,MF,Spezia,26,1996,6.1,9,5,1,6,2,5,8,62.5,3,11,2,9,4,13,7,0
288,Julian Kristoffersen,NOR,FW,Salernitana,25,1997,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
289,Raimonds Krollis,LVA,FW|DF,Spezia,20,2001,0.4,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0
290,Rade Krunić,BIH,MF,Milan,28,1993,18.4,40,28,18,18,4,16,50,32.0,34,31,11,20,16,56,21,0
291,Marash Kumbulla,ALB,DF,Roma,22,2000,2.9,4,4,2,2,0,2,3,66.7,1,2,1,1,4,8,6,0
292,Khvicha Kvaratskhelia,GEO,FW,Napoli,21,2001,28.0,43,23,12,8,23,17,43,39.5,26,20,0,20,5,48,6,1
293,Giorgos Kyriakopoulos,GRE,DF|FW,Bologna,26,1996,7.8,13,6,4,5,4,10,23,43.5,13,14,2,12,4,17,10,0
294,Giorgos Kyriakopoulos,GRE,FW|DF,Sassuolo,26,1996,8.5,21,8,7,9,5,10,14,71.4,4,7,1,6,11,32,12,1
295,Sam Lammers,NED,FW,Sampdoria,25,1997,12.2,12,5,2,7,3,6,15,40.0,9,10,3,7,6,18,11,0
296,Sam Lammers,NED,FW,Empoli,25,1997,9.8,20,10,5,9,6,7,11,63.6,4,4,1,3,3,23,8,0
297,Kevin Lasagna,ITA,FW|MF,Hellas Verona,29,1992,17.5,12,6,7,3,2,6,14,42.9,8,17,1,16,5,17,13,0
298,Armand Lauriente,FRA,FW,Sassuolo,23,1998,24.2,21,15,5,7,9,8,21,38.1,13,20,0,20,12,33,8,0
299,Valentino Lazaro,AUT,DF,Torino,26,1996,15.3,10,5,6,0,4,6,14,42.9,8,16,3,13,3,13,29,0
300,Marko Lazetić,SRB,FW,Milan,18,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
301,Darko Lazović,SRB,MF|DF,Hellas Verona,31,1990,24.9,24,13,9,12,3,13,29,44.8,16,14,3,11,16,40,19,0
302,Manuel Lazzari,ITA,DF,Lazio,28,1993,20.9,33,21,13,14,6,21,36,58.3,15,20,6,14,18,51,36,1
303,Rafael Leão,POR,FW|MF,Milan,23,1999,26.9,8,7,2,3,3,6,14,42.9,8,9,2,7,15,23,8,0
304,Mehdi Léris,ALG,MF|DF,Sampdoria,24,1998,27.3,63,46,30,24,9,23,55,41.8,32,38,6,32,27,90,34,0
305,Karol Linetty,POL,MF,Torino,27,1995,21.0,32,17,7,22,3,13,25,52.0,12,28,8,20,19,51,25,0
306,Marcin Listkowski,POL,MF|FW,Lecce,24,1998,0.9,0,0,0,0,0,0,0,,0,0,0,0,3,3,2,0
307,Diego Llorente,ESP,DF,Roma,28,1993,6.4,10,5,6,4,0,5,12,41.7,7,4,2,2,11,21,20,0
308,Stanislav Lobotka,SVK,MF,Napoli,27,1994,34.5,83,44,35,35,13,43,73,58.9,30,29,7,22,23,106,16,0
309,Manuel Locatelli,ITA,MF,Juventus,24,1998,27.2,59,33,26,23,10,30,53,56.6,23,50,22,28,27,86,59,0
310,Luka Lochoshvili,GEO,DF,Cremonese,24,1998,20.4,45,19,30,11,4,22,31,71.0,9,31,10,21,22,67,89,0
