Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
84,Joel Campbell,CRC,FW|MF,Frosinone,26,1992,9.9,380,2,26,212,152,19,380,23,13,56.5,10,43.5,292,2027,998,37,26,7,35,25,311,59
85,Emre Can,GER,MF,Juventus,24,1994,20.1,1284,38,276,743,282,48,1283,35,26,74.3,8,22.9,770,3941,2104,48,40,6,25,13,874,46
86,João Cancelo,POR,DF,Juventus,24,1994,21.9,1755,51,402,816,561,44,1755,85,61,71.8,24,28.2,1145,7157,4548,109,65,22,34,22,1207,152
87,Antonio Candreva,ITA,FW|MF,Inter,31,1987,5.6,351,4,29,115,208,31,351,11,6,54.5,5,45.5,235,1811,943,41,22,11,8,10,268,75
88,Luan Capanni,BRA,FW,Lazio,18,2000,0.1,7,0,0,1,6,0,7,0,0,,0,,4,16,2,0,0,0,1,0,6,1
89,Leonardo Capezzi,ITA,MF,Empoli,23,1995,8.6,615,27,115,409,101,5,615,6,6,100.0,0,0.0,332,1775,1024,13,16,2,7,5,398,3
90,Gianluca Caprari,ITA,FW|MF,Sampdoria,25,1993,11.5,594,1,34,251,316,45,594,32,18,56.3,14,43.8,411,2381,1066,37,34,12,41,29,466,110
91,Marco Capuano,ITA,DF,Frosinone,26,1991,25.6,1457,170,749,665,53,11,1457,4,2,50.0,2,50.0,706,3261,1987,20,12,0,13,6,862,5
92,Francesco Caputo,ITA,FW,Empoli,30,1987,38.0,1187,16,46,386,763,249,1181,41,12,29.3,29,70.7,809,4046,1703,87,30,55,94,48,959,358
93,Francesco Cassata,ITA,MF,Frosinone,21,1997,12.5,468,22,117,240,121,9,468,37,19,51.4,18,48.6,293,1916,1101,30,23,5,22,17,309,38
94,Timothy Castagne,BEL,DF,Atalanta,22,1995,22.3,1518,57,347,641,542,56,1518,39,20,51.3,19,48.7,845,4487,2457,61,46,10,34,29,944,159
95,Samu Castillejo,ESP,FW|MF,Milan,23,1995,11.4,667,9,71,259,354,41,667,41,19,46.3,22,53.7,470,3294,1625,56,40,9,28,25,486,124
96,Lucas Castro,ARG,MF,Cagliari,29,1989,10.0,612,9,71,331,218,21,612,19,7,36.8,12,63.2,316,1599,752,22,26,3,30,21,435,61
97,Danilo Cataldi,ITA,MF|FW,Lazio,23,1994,6.4,441,11,87,220,139,9,441,7,6,85.7,1,14.3,217,1177,579,13,8,1,7,2,273,15
98,Federico Ceccherini,ITA,DF,Fiorentina,26,1992,11.0,691,47,254,396,48,9,691,8,6,75.0,2,25.0,414,2464,1498,7,11,1,7,2,437,2
99,Žan Celar,SVN,FW,Roma,19,1999,0.1,2,0,0,2,0,0,2,1,1,100.0,0,0.0,1,5,0,0,0,0,0,0,2,0
100,Luca Ceppitelli,ITA,DF,Cagliari,28,1989,22.8,1450,185,738,687,33,20,1450,5,3,60.0,2,40.0,730,3591,2318,10,3,0,4,3,887,1
101,Fabio Ceravolo,ITA,FW,Parma,31,1987,13.2,395,18,51,181,169,40,393,25,14,56.0,10,40.0,226,1414,481,20,11,7,42,34,286,89
102,Alberto Cerri,ITA,FW,Cagliari,22,1996,7.4,305,4,32,137,136,42,305,10,5,50.0,5,50.0,151,624,214,7,3,2,21,16,245,45
103,Boštjan Cesar,SVN,DF,Chievo,36,1982,12.0,517,86,347,164,10,7,517,1,1,100.0,0,0.0,239,936,349,0,1,1,4,1,287,0
104,Raman Chibsah,GHA,MF,Frosinone,25,1993,29.1,1245,54,295,743,249,33,1245,82,52,63.4,30,36.6,746,4412,2524,45,37,1,57,52,790,58
105,Giorgio Chiellini,ITA,DF,Juventus,33,1984,22.1,1575,163,672,838,75,21,1575,5,4,80.0,1,20.0,900,4544,2640,21,13,1,9,9,1079,6
106,Federico Chiesa,ITA,FW,Fiorentina,20,1997,33.7,1537,6,109,512,950,218,1537,180,79,43.9,101,56.1,1031,8192,4509,158,89,80,109,66,1100,357
107,Vlad Chiricheș,ROU,DF,Napoli,28,1989,1.6,143,9,47,96,1,1,143,2,2,100.0,0,0.0,114,623,382,1,0,0,2,0,110,0
108,Camillo Ciano,ITA,FW|MF,Frosinone,28,1990,27.3,1325,21,131,553,663,38,1322,49,18,36.7,31,63.3,734,3678,1653,59,48,6,69,63,850,213
109,Amato Ciciretti,ITA,FW|MF,Parma,24,1993,1.5,83,1,15,49,24,4,83,10,7,70.0,3,30.0,54,367,123,3,5,0,4,2,60,5
110,Luca Cigarini,ITA,MF,Cagliari,32,1986,18.7,1565,62,338,987,250,3,1565,10,10,100.0,0,0.0,731,2858,1696,24,25,2,11,14,953,7
111,Daniel Ciofani,ITA,FW,Frosinone,33,1985,18.0,500,11,25,262,216,81,498,4,2,50.0,2,50.0,220,646,197,8,8,4,35,15,371,92
112,Thiago Cionek,POL,DF,SPAL,32,1986,28.2,1988,178,926,875,206,23,1988,12,4,33.3,8,66.7,1065,5883,3751,57,40,3,21,13,1156,28
