Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
1,Francesco Acerbi,ITA,DF,Lazio,31,1988,35.1,59,29,42,12,5,14,20,70.0,6,40,27,13,42,101,109,1
2,Bobby Adekanye,NED,FW,Lazio,20,1999,2.1,3,2,0,3,0,0,5,0.0,5,0,0,0,2,5,1,0
3,Claud Adjapong,ITA,DF,Hellas Verona,21,1998,2.6,5,3,4,1,0,2,3,66.7,1,4,3,1,3,8,7,0
4,Lucien Agoume,FRA,MF,Inter,17,2002,0.8,3,2,0,2,1,0,0,,0,3,1,2,0,3,0,0
5,Kevin Agudelo,COL,MF|FW,Fiorentina,20,1998,0.7,2,1,0,1,1,0,1,0.0,1,1,0,1,1,3,0,0
6,Kevin Agudelo,COL,MF|FW,Genoa,20,1998,7.4,23,14,9,12,2,10,20,50.0,10,12,1,11,6,29,2,0
7,Emmanuel Agyemang-Badu,GHA,MF,Hellas Verona,28,1990,2.6,1,1,0,1,0,1,2,50.0,1,2,2,0,1,2,6,0
8,Ola Aina,NGA,DF,Torino,22,1996,23.1,45,24,23,18,4,17,37,45.9,20,24,6,18,41,86,61,0
9,Luis Alberto,ESP,MF,Lazio,26,1992,34.6,50,30,21,19,10,27,82,32.9,55,32,1,31,21,71,9,1
10,Enrico Alfonso,ITA,GK,Brescia,31,1988,3.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
11,Allan,BRA,MF,Napoli,28,1991,14.2,50,27,20,21,9,18,54,33.3,36,19,3,16,16,66,11,1
12,Bruno Alves,POR,DF,Parma,37,1981,29.7,17,11,12,5,0,8,13,61.5,5,30,21,9,25,42,150,2
13,Sofyan Amrabat,MAR,MF,Hellas Verona,22,1996,32.4,58,36,26,21,11,26,55,47.3,29,29,10,19,31,89,15,1
14,Djavan Anderson,NED,FW|DF,Lazio,24,1995,1.9,0,0,0,0,0,0,0,,0,1,0,1,3,3,3,0
15,Lorenzo Andrenacci,ITA,GK,Brescia,24,1995,5.9,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0
16,Peter Ankersen,DEN,DF,Genoa,28,1990,11.8,16,4,7,7,2,4,13,30.8,9,19,5,14,9,25,25,1
17,Cristian Ansaldi,ARG,DF|MF,Torino,32,1986,19.6,37,25,24,7,6,19,34,55.9,15,23,3,20,14,51,20,4
18,Mirko Antonucci,ITA,FW|MF,Roma,20,1999,0.9,4,3,1,0,3,3,3,100.0,0,2,0,2,2,6,1,0
19,Guilherme Arana,BRA,DF,Atalanta,22,1997,0.9,4,4,1,3,0,3,5,60.0,2,0,0,0,2,6,0,0
20,Nicolò Armini,ITA,DF,Lazio,18,2001,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
21,Kwadwo Asamoah,GHA,DF|FW,Inter,30,1988,7.1,10,8,4,5,1,6,14,42.9,8,8,1,7,9,19,13,0
22,Kristoffer Askildsen,NOR,MF,Sampdoria,18,2001,0.8,1,1,1,0,0,0,0,,0,1,0,1,1,2,0,0
23,Emil Audero,ITA,GK,Sampdoria,22,1997,36.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,21,1
24,Tommaso Augello,ITA,DF,Sampdoria,24,1994,12.6,14,9,6,3,5,5,7,71.4,2,8,0,8,15,29,21,1
25,Florian Ayé,FRA,FW|MF,Brescia,22,1997,15.3,17,9,9,5,3,6,13,46.2,7,17,2,15,4,21,18,1
26,Khouma Babacar,SEN,FW,Lecce,26,1993,15.8,12,8,2,6,4,1,7,14.3,6,12,3,9,3,15,34,0
27,Milan Badelj,CRO,MF,Fiorentina,30,1989,17.6,29,17,10,16,3,15,50,30.0,35,21,3,18,45,74,34,1
28,Marco Ballarini,ITA,MF,Udinese,18,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
29,Mario Balotelli,ITA,FW,Brescia,28,1990,15.6,2,2,0,2,0,0,2,0.0,2,1,1,0,8,10,22,0
30,Mattia Bani,ITA,DF,Bologna,25,1993,24.5,47,28,27,19,1,25,36,69.4,11,29,15,14,52,99,92,2
31,Antonín Barák,CZE,MF|FW,Udinese,24,1994,2.2,5,4,3,0,2,1,5,20.0,4,6,1,5,0,5,4,0
32,Antonín Barák,CZE,MF,Lecce,24,1994,15.2,19,10,9,10,0,6,24,25.0,18,18,1,17,9,28,20,2
33,Nicolò Barella,ITA,MF,Inter,22,1997,22.4,36,21,14,15,7,8,37,21.6,29,20,5,15,14,50,14,0
34,Antonino Barillà,ITA,MF,Parma,31,1988,18.8,43,31,22,19,2,16,45,35.6,29,26,8,18,17,60,32,0
35,Antonio Barreca,ITA,DF|FW,Genoa,24,1995,12.2,10,7,5,3,2,4,5,80.0,1,12,7,5,1,11,22,0
36,Édgar Barreto,PAR,MF,Sampdoria,35,1984,1.0,4,3,0,1,3,2,3,66.7,1,1,0,1,0,4,0,0
37,Musa Barrow,GAM,FW|MF,Bologna,20,1998,15.0,20,13,11,7,2,6,20,30.0,14,15,0,15,5,25,11,0
38,Musa Barrow,GAM,FW|MF,Atalanta,20,1998,2.1,1,1,0,0,1,1,4,25.0,3,4,0,4,0,1,1,0
39,Daniele Baselli,ITA,MF,Torino,27,1992,14.2,43,23,17,19,7,13,40,32.5,27,20,4,16,25,68,25,0
40,Alessandro Bastoni,ITA,DF,Inter,20,1999,21.3,32,17,14,11,7,15,24,62.5,9,18,9,9,26,58,54,0
41,Bastos,ANG,DF,Lazio,28,1991,8.5,9,5,6,3,0,4,11,36.4,7,13,8,5,13,22,26,0
42,Rodrigo Becão,BRA,DF,Udinese,23,1996,24.6,56,25,34,19,3,26,46,56.5,20,40,20,20,45,101,77,0
43,Asmir Begović,BIH,GK,Milan,32,1987,1.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
44,Valon Behrami,SUI,MF,Genoa,34,1985,12.3,34,26,13,17,4,8,32,25.0,24,25,10,15,9,43,16,0
45,Raoul Bellanova,ITA,DF,Atalanta,19,2000,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
46,Andrea Belotti,ITA,FW,Torino,25,1993,33.4,29,16,7,17,5,5,31,16.1,26,23,5,18,5,34,20,1
47,Marco Benassi,ITA,MF,Fiorentina,24,1994,10.9,18,12,9,5,4,10,24,41.7,14,11,1,10,4,22,9,0
48,Ismaël Bennacer,ALG,MF,Milan,21,1997,27.6,67,47,21,34,12,29,73,39.7,44,25,7,18,54,121,15,2
49,Rodrigo Bentancur,URU,MF,Juventus,22,1997,24.4,58,32,27,18,13,31,66,47.0,35,44,9,35,32,90,34,1
50,Romario Benzar,ROU,DF,Lecce,27,1992,1.1,2,2,1,1,0,2,3,66.7,1,1,0,1,0,2,2,0
51,Domenico Berardi,ITA,FW,Sassuolo,24,1994,27.7,32,16,19,8,5,13,59,22.0,46,31,3,28,33,65,27,0
52,Álex Berenguer,ESP,MF|DF,Torino,24,1995,20.3,20,6,6,13,1,8,33,24.2,25,17,1,16,18,38,17,0
53,Bartosz Bereszyński,POL,DF,Sampdoria,27,1992,26.7,53,35,25,23,5,26,52,50.0,26,38,16,22,35,88,88,1
54,Etrit Berisha,ALB,GK,SPAL,30,1989,26.0,3,2,3,0,0,2,3,66.7,1,0,0,0,1,4,9,0
55,Valon Berisha,KVX,MF,Lazio,26,1993,0.4,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,1,0
56,Federico Bernardeschi,ITA,MF|FW,Juventus,25,1994,17.5,13,5,4,5,4,5,25,20.0,20,11,0,11,13,26,12,1
57,Andrea Bertolacci,ITA,MF,Sampdoria,28,1991,5.9,7,4,2,3,2,1,8,12.5,7,4,1,3,2,9,13,0
