Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
1,Julen Agirrezabala,ESP,GK,Athletic Club,20,2000,4,4,360,4.0,5,1.25,20,15,75.0,1,2,1,1,25.0,0,0,0,0,
2,Sergio Asenjo,ESP,GK,Villarreal,32,1989,6,6,540,6.0,9,1.50,28,19,71.4,2,2,2,0,0.0,1,1,0,0,0.0
3,Édgar Badía,ESP,GK,Elche,29,1992,24,24,2160,24.0,35,1.46,114,78,75.4,8,5,11,5,20.8,9,7,1,1,12.5
4,Yassine Bounou,MAR,GK,Sevilla,30,1991,31,31,2790,31.0,24,0.77,100,75,78.0,14,13,4,13,41.9,4,2,1,1,33.3
5,Claudio Bravo,CHI,GK,Betis,38,1983,17,17,1456,16.2,19,1.17,56,39,67.9,8,4,5,5,29.4,1,1,0,0,0.0
6,Cárdenas,ESP,GK,Levante,24,1997,24,24,2160,24.0,46,1.92,120,74,65.0,6,6,12,5,20.8,4,4,0,0,0.0
7,Kiko Casilla,ESP,GK,Elche,34,1986,14,14,1260,14.0,17,1.21,60,43,71.7,3,4,7,3,21.4,0,0,0,0,
8,Jasper Cillessen,NED,GK,Valencia,32,1989,17,17,1457,16.2,29,1.79,77,49,68.8,4,8,5,3,17.6,6,5,1,0,16.7
9,Diego Conde,ESP,GK,Getafe,22,1998,1,0,6,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
10,Thibaut Courtois,BEL,GK,Real Madrid,29,1992,36,36,3240,36.0,29,0.81,120,91,77.5,26,7,3,16,44.4,3,2,1,0,33.3
11,Javier Díaz,ESP,GK,Sevilla,24,1997,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,
12,Stole Dimitrievski,MKD,GK,Rayo Vallecano,27,1993,31,30,2772,30.8,37,1.20,126,88,76.2,11,8,11,9,30.0,9,7,2,0,22.2
13,Matías Dituro,ARG,GK,Celta Vigo,34,1987,38,38,3420,38.0,43,1.13,136,91,71.3,12,10,16,14,36.8,8,4,4,0,50.0
14,Marko Dmitrović,SRB,GK,Sevilla,29,1992,6,6,540,6.0,5,0.83,19,14,73.7,4,2,0,4,66.7,0,0,0,0,
15,Jaume Doménech,ESP,GK,Valencia,30,1990,4,3,343,3.8,4,1.05,11,8,63.6,2,0,1,1,33.3,0,0,0,0,
16,Aarón Escandell,ESP,GK,Granada,25,1995,4,3,284,3.2,6,1.90,16,10,75.0,0,2,1,1,33.3,2,2,0,0,0.0
17,Aitor Fernández,ESP,GK,Levante,30,1991,13,13,1166,13.0,29,2.24,81,51,65.4,1,5,7,2,15.4,2,1,1,0,50.0
18,Joan García,ESP,GK,Espanyol,20,2001,2,1,108,1.2,3,2.50,3,0,0.0,0,0,1,0,0.0,0,0,0,0,
19,Dominik Greif,SVK,GK,Mallorca,24,1997,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
20,Sergio Herrera,ESP,GK,Osasuna,28,1993,36,36,3240,36.0,48,1.33,147,97,70.1,12,10,14,12,33.3,7,4,3,0,42.9
21,Jeremías Ledesma,ARG,GK,Cádiz,28,1993,38,38,3420,38.0,51,1.34,170,117,76.5,8,15,15,13,34.2,13,11,2,0,15.4
22,Diego López,ESP,GK,Espanyol,39,1981,36,36,3177,35.3,49,1.39,157,110,70.7,10,12,14,9,25.0,4,3,0,1,0.0
23,Andriy Lunin,UKR,GK,Real Madrid,22,1999,2,2,180,2.0,2,1.00,9,6,88.9,0,1,1,0,0.0,2,1,1,0,50.0
