Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
577,Georginio Rutter,FRA,FW|MF,Rennes,18,2002,4,44,11,1.3,0.5,0,,0,4,11,5,2.50,1,2,-1,-2.05,-2.39,0.9,0.4,+0.5,+1.07,+0.83
578,Roli Pereira de Sa,FRA,FW|MF,Nantes,23,1996,6,56,9,1.6,0.6,0,,0,6,9,11,2.00,0,2,-2,-3.21,-3.05,0.6,1.5,-0.9,-1.41,-1.31
579,Idriss Saadi,ALG,MF|FW,Strasbourg,28,1992,7,125,18,3.7,1.4,0,,0,7,18,5,0.43,1,3,-2,-1.44,-1.25,3.3,2.8,+0.5,+0.34,+0.29
580,Youssouf Sabaly,SEN,DF,Bordeaux,27,1993,33,2909,88,85.1,32.3,33,88,27,0,,1,1.33,40,47,-7,-0.22,+1.02,37.8,48.5,-10.7,-0.33,-0.21
581,Mathys Saban,FRA,FW,Saint-Étienne,18,2002,1,13,13,0.4,0.1,0,,0,1,13,0,0.00,0,0,0,0.00,+0.32,0.2,0.1,+0.1,+0.77,+0.81
582,Hiroki Sakai,JPN,DF,Marseille,30,1990,29,2385,82,69.7,26.5,26,87,21,3,44,1,1.59,40,37,+3,+0.11,-0.23,35.0,35.7,-0.7,-0.03,-0.06
583,Moïse Sakava,CMR,MF,Reims,19,2000,1,8,8,0.2,0.1,0,,0,1,8,1,3.00,0,0,0,0.00,+0.21,0.2,0.1,+0.1,+1.13,+1.83
584,William Saliba,FRA,DF,Nice,19,2001,20,1800,90,52.6,20.0,20,90,20,0,,0,1.35,24,28,-4,-0.20,-0.26,23.6,30.3,-6.7,-0.33,-0.28
585,Romain Salin,FRA,GK,Rennes,36,1984,15,1350,90,39.5,15.0,15,90,15,0,,20,2.13,26,14,+12,+0.80,+0.80,17.1,14.8,+2.2,+0.15,-0.18
586,Mama Samba Baldé,GNB,FW,Dijon,24,1995,29,2161,75,63.2,24.0,24,83,8,5,32,0,0.48,16,43,-27,-1.12,+0.38,21.0,41.6,-20.6,-0.86,+0.45
587,Junior Sambia,FRA,DF|MF,Montpellier,23,1996,36,2448,68,71.6,27.2,26,86,20,10,22,2,1.50,44,48,-4,-0.15,-0.33,37.6,48.4,-10.8,-0.40,-0.07
588,Frédéric Sammaritano,FRA,FW|MF,Dijon,34,1986,30,1130,38,33.0,12.6,10,69,0,20,22,2,0.43,9,26,-17,-1.35,-0.14,11.4,21.6,-10.3,-0.82,+0.30
589,Renato Sanches,POR,MF,Lille,22,1997,23,1270,55,37.1,14.1,14,79,4,9,18,2,2.13,23,9,+14,+0.99,-0.14,18.0,14.0,+4.0,+0.28,-0.34
590,Morgan Sanson,FRA,MF,Marseille,25,1994,12,826,69,24.2,9.2,10,78,6,2,26,0,1.75,13,9,+4,+0.44,+0.33,11.3,13.6,-2.2,-0.24,-0.31
591,Baptiste Santamaria,FRA,MF,Angers,25,1995,3,270,90,7.9,3.0,3,90,3,0,,0,2.00,2,2,0,0.00,+0.51,4.3,3.3,+1.0,+0.34,+0.67
592,Pablo Sarabia,ESP,FW|MF,Paris S-G,28,1992,27,1320,49,38.6,14.7,13,82,8,14,18,3,2.30,31,8,+23,+1.57,+0.07,28.7,17.9,+10.8,+0.74,-0.49
593,Bouna Sarr,SEN,DF,Marseille,28,1992,2,76,38,2.2,0.8,0,,0,2,38,0,0.50,1,1,0,0.00,-0.19,2.0,1.4,+0.5,+0.65,+0.68
594,Sidy Sarr,SEN,MF,Nîmes,24,1996,9,463,51,13.5,5.1,6,73,2,3,9,3,0.67,5,11,-6,-1.17,-0.41,7.1,8.7,-1.6,-0.31,+0.27
595,Matthieu Saunier,FRA,DF,Lorient,30,1990,0,,,,,0,,,0,,2,,,,,,,,,,,
596,Téji Savanier,FRA,MF,Montpellier,28,1991,27,2165,80,63.3,24.1,26,82,15,1,37,0,1.56,43,35,+8,+0.33,+1.05,38.3,40.1,-1.8,-0.07,+0.83
597,Aurélien Scheidler,FRA,FW,Dijon,22,1998,10,342,34,10.0,3.8,3,82,1,7,14,6,0.40,1,9,-8,-2.11,-0.94,2.7,10.9,-8.2,-2.17,-1.28
598,Morgan Schneiderlin,FRA,MF,Nice,30,1989,28,2197,78,64.2,24.4,24,87,21,4,26,2,1.39,30,29,+1,+0.04,+0.34,28.1,34.3,-6.2,-0.25,-0.15
599,Paolo Sciortino,FRA,MF,Marseille,16,2003,0,,,,,0,,,0,,1,,,,,,,,,,,
600,Malik Sellouki,FRA,FW|MF,Nice,20,2000,4,66,17,1.9,0.7,0,,0,4,17,10,0.00,1,0,+1,+1.36,+1.47,0.7,0.3,+0.4,+0.55,+0.76
601,Matz Sels,BEL,GK,Strasbourg,28,1992,6,540,90,15.8,6.0,6,90,6,0,,2,0.83,9,13,-4,-0.67,-0.51,8.0,7.8,+0.2,+0.03,-0.03
602,Marvin Senaya,TOG,DF|MF,Strasbourg,19,2001,0,,,,,0,,,0,,3,,,,,,,,,,,
603,Jean Seri,CIV,MF,Bordeaux,29,1991,12,707,59,20.7,7.9,9,73,3,3,16,2,0.58,10,20,-10,-1.27,-1.14,8.8,13.8,-5.0,-0.64,-0.43
604,Mahame Siby,MLI,MF,Strasbourg,24,1996,7,21,3,0.6,0.2,0,,0,7,3,19,2.43,1,1,0,0.00,+0.24,0.8,0.3,+0.5,+2.09,+2.05
605,Abdoulaye Sidibé,FRA,MF,Saint-Étienne,18,2002,1,11,11,0.3,0.1,0,,0,1,11,0,1.00,0,1,-1,-8.18,-7.89,0.0,0.6,-0.6,-4.51,-4.49
606,Djibril Sidibé,FRA,DF,Monaco,28,1992,30,1980,66,57.9,22.0,21,85,17,9,22,0,2.17,45,24,+21,+0.95,+0.14,37.4,17.2,+20.2,+0.92,+0.05
607,Kaj Sierhuis,NED,FW|MF,Reims,22,1998,24,652,27,19.1,7.2,6,69,1,18,13,13,1.00,11,9,+2,+0.28,+0.60,8.2,11.1,-2.9,-0.40,+0.36
608,Caio Henrique Oliveira Silva,BRA,DF,Monaco,23,1997,31,2368,76,69.2,26.3,26,85,16,5,31,1,2.19,56,17,+39,+1.48,+1.91,52.4,19.2,+33.2,+1.26,+1.18
609,Florent da Silva,FRA,FW,Lyon,17,2003,1,3,3,0.1,0.0,0,,0,1,3,4,3.00,0,0,0,0.00,-1.00,0.1,0.0,+0.1,+1.66,+0.61
610,Gabriel Silva,BRA,DF,Saint-Étienne,29,1991,4,355,89,10.4,3.9,4,89,3,0,,8,1.50,6,4,+2,+0.51,+0.92,8.0,4.9,+3.1,+0.78,+0.91
611,Mohamed Simakan,FRA,DF,Strasbourg,20,2000,19,1615,85,47.2,17.9,19,85,15,0,,0,1.05,25,31,-6,-0.33,-0.18,26.4,27.7,-1.3,-0.07,-0.25
612,Usman Simbakoli,FRA,FW,Lille,19,2001,0,,,,,0,,,0,,1,,,,,,,,,,,
613,Moses Simon,NGA,FW|MF,Nantes,25,1995,33,2324,70,68.0,25.8,28,78,8,5,30,0,1.00,35,34,+1,+0.04,+0.78,34.1,34.9,-0.8,-0.03,+0.27
614,Xavi Simons,NED,MF,Paris S-G,17,2003,1,2,2,0.1,0.0,0,,0,1,2,11,3.00,0,0,0,0.00,-1.53,0.1,0.0,+0.1,+3.77,+2.73
615,Issouf Sissokho,MLI,MF|DF,Bordeaux,18,2002,6,78,13,2.3,0.9,0,,0,6,13,4,1.50,3,1,+2,+2.31,+2.74,1.1,2.1,-1.0,-1.12,-0.84
616,Ibrahima Sissoko,MLI,MF,Strasbourg,22,1997,36,2581,72,75.5,28.7,29,84,18,7,19,0,1.06,40,38,+2,+0.07,+1.25,42.9,37.6,+5.4,+0.19,+0.54
617,Nelson Sissoko,FRA,DF,Saint-Étienne,23,1997,9,474,53,13.9,5.3,6,75,4,3,8,11,0.56,3,14,-11,-2.09,-2.06,4.0,9.6,-5.6,-1.06,-1.19
618,Jacques Siwe,FRA,FW,Dijon,19,2001,5,169,34,4.9,1.9,2,75,1,3,7,0,1.20,1,3,-2,-1.07,+0.21,1.7,2.9,-1.2,-0.64,+0.40
619,Petar Škuletić,SRB,FW|MF,Montpellier,30,1990,19,234,12,6.8,2.6,1,54,0,18,10,14,1.42,4,6,-2,-0.77,-0.77,4.6,6.7,-2.1,-0.79,-0.44
620,Islam Slimani,ALG,FW,Lyon,32,1988,18,579,32,16.9,6.4,4,77,2,14,19,0,1.83,17,5,+12,+1.87,+1.04,14.8,6.1,+8.7,+1.35,+0.36
621,Noé Sommer,FRA,MF,Strasbourg,19,2001,0,,,,,0,,,0,,1,,,,,,,,,,,
622,Brandon Soppy,FRA,DF,Rennes,18,2002,10,559,56,16.3,6.2,5,84,4,5,28,21,1.50,12,5,+7,+1.13,+0.97,9.2,4.5,+4.7,+0.76,+0.60
623,Florian Sotoca,FRA,FW,Lens,29,1990,33,2413,73,70.6,26.8,28,82,15,5,22,1,1.42,38,38,0,0.00,-0.09,38.0,32.3,+5.8,+0.21,-0.13
624,Cheick Souaré,FRA,MF,Marseille,17,2002,1,10,10,0.3,0.1,0,,0,1,10,4,1.00,0,0,0,0.00,-0.18,0.0,0.2,-0.2,-1.45,-1.44
625,Rayan Souici,FRA,DF,Saint-Étienne,22,1998,1,5,5,0.1,0.1,0,,0,1,5,3,0.00,0,0,0,0.00,+0.32,0.0,0.0,0.0,0.00,+0.04
626,Adama Soumaoro,FRA,DF,Lille,28,1992,3,145,48,4.2,1.6,1,90,1,2,28,7,2.33,4,0,+4,+2.48,+1.47,4.4,1.0,+3.4,+2.10,+1.68
627,Boubakary Soumaré,FRA,MF,Lille,21,1999,32,1919,60,56.1,21.3,21,83,14,11,16,5,2.16,36,15,+21,+0.98,-0.21,27.2,18.9,+8.3,+0.39,-0.23
628,Yaya Soumaré,MLI,FW,Lyon,20,2000,3,4,1,0.1,0.0,0,,0,3,1,10,3.00,0,0,0,0.00,-1.00,0.1,0.4,-0.3,-7.09,-8.15
629,Arnaud Souquet,FRA,DF,Montpellier,28,1992,23,1224,53,35.8,13.6,14,76,4,9,18,11,1.43,20,23,-3,-0.22,-0.26,16.2,24.1,-7.9,-0.58,-0.32
