Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
430,Anthony Martial,FRA,FW|MF,Sevilla,25,1995,9,490,54,14.3,5.4,7,61,0,2,31,0,1.22,7,2,+5,+0.92,+0.37,4.8,4.1,+0.8,+0.14,0.00
431,Martín,ESP,MF,Cádiz,22,1999,6,115,19,3.4,1.3,1,54,0,5,12,7,0.33,1,1,0,0.00,+0.44,0.4,1.1,-0.7,-0.56,-0.34
432,Ander Martin,ESP,FW|MF,Real Sociedad,20,2000,5,88,18,2.6,1.0,1,58,0,4,8,8,1.40,2,2,0,0.00,-0.08,1.6,1.5,+0.1,+0.10,-0.25
433,Andrés Martín,ESP,FW|MF,Rayo Vallecano,22,1999,7,186,27,5.4,2.1,1,73,0,6,19,13,1.00,0,4,-4,-1.94,-1.74,1.8,5.5,-3.7,-1.81,-1.76
434,Carlos Martín,ESP,DF,Atlético Madrid,19,2002,1,6,6,0.2,0.1,0,,0,1,6,9,3.00,1,0,+1,+15.00,+14.45,0.2,0.1,+0.1,+1.81,+1.26
435,Iván Martín,ESP,MF|FW,Alavés,22,1999,6,166,28,4.9,1.8,2,45,0,4,19,15,0.83,2,4,-2,-1.08,-0.20,1.6,2.9,-1.3,-0.71,-0.20
436,Iñigo Martínez,ESP,DF,Athletic Club,30,1991,27,2341,87,68.5,26.0,26,88,23,1,45,0,1.70,28,18,+10,+0.38,+0.63,31.2,25.0,+6.2,+0.24,-0.18
437,Javi Martínez,ESP,MF|FW,Osasuna,21,1999,26,879,34,25.7,9.8,9,67,1,17,16,12,1.46,13,16,-3,-0.31,+0.08,9.8,16.6,-6.8,-0.70,-0.60
438,Pablo Martínez,ESP,MF,Levante,23,1998,13,656,50,19.2,7.3,7,72,2,6,25,5,0.46,5,15,-10,-1.37,-0.88,10.1,9.3,+0.8,+0.11,+0.13
439,Pau Martínez,ESP,FW,Osasuna,20,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
440,Roger Martínez,ESP,MF,Espanyol,17,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
441,Omar Mascarell,ESP,MF,Elche,28,1993,32,2493,78,72.9,27.7,30,82,15,2,17,2,1.13,28,39,-11,-0.40,-0.30,23.4,40.8,-17.4,-0.63,+0.15
442,Jaime Mata,ESP,FW,Getafe,32,1988,22,672,31,19.6,7.5,4,68,0,18,22,3,0.91,5,9,-4,-0.54,-0.40,5.8,9.6,-3.9,-0.52,-0.34
443,Luís Maximiano,POR,GK,Granada,22,1999,35,3136,90,91.7,34.8,35,90,34,0,,2,1.03,43,55,-12,-0.34,+1.24,36.6,56.2,-19.6,-0.56,+0.26
