Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
74,Lucas Boyé,ARG,FW,Elche,25,1996,19.0,3,0,0,39,40,13,7,2,13,0,0,0,65,31,53,36.9
75,Martin Braithwaite,DEN,FW,Barcelona,30,1991,2.6,0,0,0,5,2,2,2,1,1,0,0,0,7,3,6,33.3
76,Darko Brašanac,SRB,MF,Osasuna,29,1992,26.7,8,0,0,52,24,9,27,25,22,0,0,0,143,33,59,35.9
77,Claudio Bravo,CHI,GK,Betis,38,1983,16.2,2,0,0,1,1,0,0,0,0,0,1,0,20,6,1,85.7
78,Yan Brice Eteki,CMR,MF,Granada,23,1997,3.8,3,0,0,18,5,0,0,4,3,0,0,0,21,7,7,50.0
79,Ante Budimir,CRO,FW,Osasuna,30,1991,19.3,3,0,0,37,32,16,7,3,10,1,0,0,50,106,99,51.7
80,Sergio Busquets,ESP,MF,Barcelona,33,1988,35.5,12,0,0,53,67,2,3,45,49,0,0,0,281,57,68,45.6
81,Adrián Butzke,ESP,FW,Granada,22,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,Erick Cabaco,URU,DF,Getafe,26,1995,4.5,4,1,1,7,4,0,1,4,1,0,0,1,14,8,6,57.1
83,Leandro Cabrera,URU,DF,Espanyol,30,1991,37.0,7,0,0,32,21,2,13,44,24,0,2,1,147,82,48,63.1
84,Martín Cáceres,URU,DF,Levante,34,1987,7.4,2,0,0,8,8,0,4,11,2,0,0,0,43,7,12,36.8
85,Cala,ESP,DF,Cádiz,31,1989,10.5,8,1,1,11,7,1,0,12,4,0,2,0,44,15,15,50.0
86,Calderón,ESP,DF,Betis,21,2000,0.7,0,0,0,1,1,0,4,0,0,0,0,0,6,0,2,0.0
87,Fernando Calero,ESP,DF,Espanyol,25,1995,12.1,3,0,0,10,6,0,0,16,10,0,1,0,46,21,22,48.8
88,Víctor Camarasa,ESP,MF|FW,Betis,27,1994,1.2,0,0,0,2,3,0,0,2,1,0,0,0,6,2,1,66.7
89,Eduardo Camavinga,FRA,MF,Real Madrid,18,2002,13.7,8,0,0,35,29,1,3,17,35,0,0,0,85,28,13,68.3
90,José Campaña,ESP,MF,Levante,28,1993,15.8,6,1,0,17,22,1,56,21,16,0,0,0,109,17,18,48.6
91,Sergio Canales,ESP,FW|MF,Betis,30,1991,31.0,6,0,0,19,39,11,67,10,14,0,0,0,179,11,26,29.7
92,Álex Cantero,ESP,FW|MF,Levante,21,2000,6.8,1,0,0,13,4,0,6,1,4,0,0,0,17,3,13,18.8
93,Ander Capa,ESP,DF,Athletic Club,29,1992,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,Étienne Capoue,FRA,MF,Villarreal,33,1988,25.4,9,0,0,44,44,0,5,35,26,0,0,0,135,52,24,68.4
95,Isaac Carcelen,ESP,DF|MF,Cádiz,28,1993,17.2,2,0,0,23,25,1,49,34,29,0,0,0,114,15,18,45.5
96,Cárdenas,ESP,GK,Levante,24,1997,24.0,3,0,0,0,3,0,0,1,1,0,0,0,33,2,1,66.7
97,Carlo,ESP,MF,Villarreal,20,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
98,Diego Carlos,BRA,DF,Sevilla,28,1993,32.9,4,1,1,33,19,1,3,24,24,0,2,0,190,80,42,65.6
99,Carmona,ESP,DF,Sevilla,19,2002,0.3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0.0
100,Yannick Carrasco,BEL,FW|MF,Atlético Madrid,27,1993,28.7,5,0,0,30,39,13,133,19,19,0,0,0,159,8,12,40.0
101,Guido Carrillo,ARG,FW,Elche,30,1991,13.0,3,0,0,33,25,6,1,1,4,0,0,0,38,80,60,57.1
102,Dani Carvajal,ESP,DF,Real Madrid,29,1992,17.2,1,0,0,19,11,0,40,20,28,0,1,0,97,14,14,50.0
103,William Carvalho,POR,MF,Betis,29,1992,20.1,6,0,0,31,28,0,4,16,33,0,0,0,128,34,25,57.6
104,Casemiro,BRA,MF,Real Madrid,29,1992,28.5,11,0,0,54,38,4,17,38,51,1,0,0,230,101,50,66.9
105,Kiko Casilla,ESP,GK,Elche,34,1986,14.0,3,0,0,0,1,0,0,1,0,0,0,0,21,3,0,100.0
106,Catena,ESP,DF,Rayo Vallecano,26,1994,36.0,8,0,0,26,14,3,2,30,23,0,1,0,190,117,40,74.5
107,Dani Ceballos,ESP,MF,Real Madrid,24,1996,3.1,1,0,0,3,7,0,1,4,5,0,0,0,25,0,0,
108,Franco Cervi,ARG,MF,Celta Vigo,27,1994,20.0,5,0,0,22,40,2,78,21,41,1,0,0,146,17,31,35.4
109,Chapela,ESP,MF|FW,Cádiz,22,1999,4.4,0,0,0,4,9,1,12,4,2,0,0,0,22,4,6,40.0
110,Chema,ESP,MF,Getafe,29,1992,0.5,1,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0.0
111,Denis Cheryshev,RUS,MF|FW,Valencia,30,1990,6.3,1,0,0,15,7,4,27,9,5,1,0,0,35,5,13,27.8
112,Samuel Chukwueze,NGA,MF|FW,Villarreal,22,1999,14.8,4,0,0,11,16,12,16,5,9,0,0,0,57,7,18,28.0
113,Víctor Chust,ESP,DF,Cádiz,21,2000,20.3,2,0,0,14,8,0,2,16,10,0,2,0,124,30,36,45.5
114,Jasper Cillessen,NED,GK,Valencia,32,1989,16.2,1,0,0,0,1,0,0,1,0,0,0,0,20,1,0,100.0
115,Pathé Ciss,SEN,MF,Rayo Vallecano,27,1994,12.2,5,0,0,19,9,1,0,30,15,0,1,1,103,34,22,60.7
116,Carlos Clerc,ESP,DF,Levante,29,1992,16.8,6,0,0,23,18,0,47,26,17,0,0,0,99,13,17,43.3
117,Coke,ESP,DF,Levante,34,1987,1.3,1,0,0,4,1,0,0,2,2,0,0,0,8,4,3,57.1
118,Álex Collado,ESP,MF|FW,Granada,22,1999,11.3,1,0,0,15,16,0,42,6,12,0,0,0,59,6,17,26.1
119,Eray Cömert,SUI,DF,Valencia,23,1998,4.5,2,0,0,3,0,0,0,2,3,0,1,0,24,2,7,22.2
120,Santi Comesaña,ESP,MF,Rayo Vallecano,24,1996,29.8,12,1,1,60,56,1,10,33,56,0,0,0,213,56,63,47.1
121,Diego Conde,ESP,GK,Getafe,22,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122,Francis Coquelin,FRA,MF,Villarreal,30,1991,9.2,3,0,0,23,13,0,1,19,17,0,0,0,57,15,10,60.0
123,Jesús Corona,MEX,FW|DF,Sevilla,28,1993,12.9,2,0,0,11,27,7,52,8,7,0,0,0,64,7,13,35.0
124,Ángel Correa,ARG,FW|MF,Atlético Madrid,26,1995,20.6,3,1,0,24,27,10,34,10,8,0,0,0,78,5,16,23.8
125,Thierry Correia,POR,DF,Valencia,22,1999,15.7,5,0,0,32,29,0,48,19,23,0,0,0,109,19,14,57.6
126,Hélder Costa,ANG,MF|FW,Valencia,27,1994,12.4,3,0,0,28,14,1,46,3,16,0,0,0,60,8,12,40.0
127,Jaume Costa,ESP,DF,Mallorca,33,1988,20.3,5,1,0,21,26,2,75,23,26,0,0,0,100,25,31,44.6
128,Thibaut Courtois,BEL,GK,Real Madrid,29,1992,36.0,1,0,0,1,1,0,0,0,0,0,1,0,44,8,1,88.9
129,Philippe Coutinho,BRA,MF|FW,Barcelona,29,1992,5.6,1,0,0,7,13,2,19,4,3,1,0,0,23,2,4,33.3
130,Cristo,ESP,DF,Real Sociedad,21,2000,0.2,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0.0
131,Juan Cruz Armada,ESP,DF,Osasuna,29,1992,21.5,4,0,0,19,5,0,8,16,21,0,0,0,124,23,27,46.0
132,Marc Cucurella,ESP,MF|DF,Getafe,23,1998,0.3,0,0,0,0,1,0,2,0,0,0,0,0,4,0,0,
133,Jorge Cuenca,ESP,DF,Getafe,21,1999,29.8,6,2,0,33,14,0,5,39,32,0,0,0,144,79,38,67.5
134,Matheus Cunha,BRA,FW,Atlético Madrid,22,1999,11.8,3,0,0,22,26,1,7,6,12,2,1,0,44,21,74,22.1
135,Arnaut Danjuma,NED,FW,Villarreal,24,1997,16.4,1,0,0,3,18,17,27,2,6,0,0,0,31,3,8,27.3
