Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
1,Luis Abram,PER,DF,Granada,25,1996,6.2,0,2,0,0.0,0.32,0.00,0.00,,9.0,0,0,0,0.3,0.3,0.14,-0.3,-0.3
2,Marcos Acuña,ARG,DF,Sevilla,29,1991,25.1,1,16,5,31.3,0.64,0.20,0.06,0.20,21.7,1,0,0,1.2,1.2,0.08,-0.2,-0.2
3,Martin Agirregabiria,ESP,DF,Alavés,25,1996,18.0,0,4,0,0.0,0.22,0.00,0.00,,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
4,Julen Agirrezabala,ESP,GK,Athletic Club,20,2000,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
5,Sergio Agüero,ARG,FW,Barcelona,33,1988,1.7,1,6,1,16.7,3.58,0.60,0.17,1.00,12.0,0,0,0,1.0,1.0,0.17,0.0,0.0
6,Álvaro Aguirre,ESP,FW,Rayo Vallecano,21,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
7,Joseph Aidoo,GHA,DF,Celta Vigo,25,1995,29.3,0,6,1,16.7,0.20,0.03,0.00,0.00,13.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3
8,Carlos Akapo,EQG,DF,Cádiz,28,1993,20.5,0,10,1,10.0,0.49,0.05,0.00,0.00,19.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5
9,Ilias Akhomach,ESP,FW,Barcelona,17,2004,1.4,0,4,2,50.0,2.90,1.45,0.00,0.00,19.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
10,Paul Akouokou,CIV,MF,Betis,23,1997,5.7,0,2,0,0.0,0.35,0.00,0.00,,22.8,0,0,0,0.0,0.0,0.02,0.0,0.0
11,David Alaba,AUT,DF,Real Madrid,29,1992,29.4,2,21,7,33.3,0.72,0.24,0.10,0.29,21.8,7,0,0,1.6,1.6,0.09,+0.4,+0.4
12,Tomás Alarcón,CHI,MF,Cádiz,22,1999,15.8,0,15,2,13.3,0.95,0.13,0.00,0.00,24.1,0,0,0,1.1,1.1,0.07,-1.1,-1.1
13,Jordi Alba,ESP,DF,Barcelona,32,1989,29.4,2,31,6,19.4,1.06,0.20,0.06,0.33,23.2,1,0,0,1.5,1.5,0.05,+0.5,+0.5
14,Raúl Albiol,ESP,DF,Villarreal,35,1985,27.4,0,5,1,20.0,0.18,0.04,0.00,0.00,7.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4
15,Paco Alcácer,ESP,FW,Villarreal,27,1993,8.7,1,18,7,38.9,2.06,0.80,0.06,0.14,13.4,1,0,0,3.9,3.9,0.22,-2.9,-2.9
16,Rubén Alcaraz,ESP,MF,Cádiz,30,1991,12.3,2,23,6,26.1,1.87,0.49,0.09,0.33,23.1,5,0,0,1.3,1.3,0.06,+0.7,+0.7
17,Omar Alderete,PAR,DF,Valencia,24,1996,26.7,2,18,5,27.8,0.67,0.19,0.11,0.40,16.7,0,0,0,0.8,0.8,0.05,+1.2,+1.2
18,Iván Alejo,ESP,MF|FW,Cádiz,26,1995,11.8,2,12,4,33.3,1.01,0.34,0.17,0.50,21.5,0,0,0,1.4,1.4,0.12,+0.6,+0.6
19,Carles Aleñá,ESP,MF,Getafe,23,1998,25.8,1,46,14,30.4,1.78,0.54,0.02,0.07,24.2,0,0,0,1.8,1.8,0.04,-0.8,-0.8
20,Hugo Álvarez,ESP,FW,Celta Vigo,18,2003,0.1,0,1,0,0.0,8.18,0.00,0.00,,11.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2
